tick,bottom_1_name
AL,AER
RC,STWD
POWI,LSCC
SEDG,ENPH
HUM,UNH
ST,TEL
ARE,FR
WCN,RSG
LH,DGX
THC,HCA
TENB,CRWD
SNV,FITB
YETI,IWM
IRT,UDR
PCOR,BILL
AMKR,LSCC
FRC,IWM
NVT,ETN
SCCO,FCX
FULT,FNB
WPC,O
AROC,HAL
BCE,TU
HIW,BDN
NNN,O
AOS,PNR
JBL,FLEX
CMC,NUE
EVRG,CMS
MTB,HBAN
ASML,AMAT
AJG,MMC
PDCE,MTDR
SLG,VNO
DEI,VNO
GNTX,BWA
CRSR,IWM
ALB,LTHM
WES,PAA
TU,BCE
OUT,IWM
PKI,DHR
TPH,PHM
MMP,EPD
VRSK,SPGI
RSG,WM
CSIQ,JKS
UMPQ,FNB
EAT,BLMN
OC,MAS
FSLR,SPWR
GD,RTX
ASB,FNB
LSCC,AMAT
ARI,STWD
ATHM,BABA
TXT,HWM
FR,STAG
SHOP,SQ
WTRG,CMS
NWG,LYG
UNVR,DD
CMI,PCAR
AZEK,IWM
SKX,PVH
DK,PBF
ZG,Z
SQM,ALB
EMN,DD
PMT,NYMT
GOOG,GOOGL
LEG,IWM
PVH,CPRI
PPG,AXTA
SBNY,IWM
KLAC,AMAT
DRI,BLMN
ABC,MCK
XYL,FTV
SSRM,WPM
LNT,CMS
JEF,GS
LEVI,PVH
RJF,PFG
CDAY,SQ
MCK,ABC
ETR,AEP
LPX,BLDR
CNI,CP
SHLS,ARRY
APTV,MGA
CWK,CBRE
CHX,HAL
OGE,LNT
SPOT,SQ
MDB,DDOG
CTRE,OHI
NMRK,CBRE
CMA,FITB
DGX,LH
AER,AL
KBH,PHM
SHW,MAS
BRO,MMC
CADE,SNV
FVRR,TWLO
TRGP,OKE
TT,CARR
DLR,CCI
MGA,BWA
FSK,PSEC
ESI,IWM
ZION,FITB
CMS,WEC
RY,BNS
VNO,SLG
NSC,CSX
ONB,FULT
GLPI,VICI
STAG,FR
TROX,CC
GDS,BILI
JKS,DQ
OLN,EMN
NOW,TEAM
ES,WEC
TEAM,DDOG
DADA,BILI
LBTYA,LBTYK
WEC,CMS
CC,EMN
TRV,CB
FIVN,ZM
TER,AMAT
PSEC,STWD
GOOGL,GOOG
CHTR,LBRDK
VEEV,OKTA
AON,MMC
QFIN,BILI
MTDR,MRO
QRVO,SWKS
UPWK,FVRR
HCA,THC
ATO,CMS
PFGC,USFD
PAYX,ADP
TMO,DHR
FBP,SNV
ABR,BXMT
LNC,EQH
ACGL,CB
MAS,SHW
ZTS,TMO
CDNS,MSFT
LRCX,AMAT
URBN,AEO
SYK,BSX
BDN,HIW
VLY,SNV
BWA,MGA
ENTG,AMAT
BNS,RY
WSC,IWM
WDAY,NOW
AXTA,PPG
CCI,AMT
CPRI,TPR
RRR,CZR
A,DHR
PNC,FITB
YUM,MCD
DE,CAT
PAAS,AG
OMF,COF
NCR,IWM
HLX,OIS
SVC,RLJ
IGT,RRR
HP,PTEN
TRP,ENB
FRO,DHT
WM,RSG
ZBH,SYK
PCAR,CMI
BXMT,STWD
AMT,CCI
RLJ,SHO
SWK,PNR
STLD,NUE
RNG,TWLO
HTHT,TCOM
KRG,BRX
CIM,EFC
EVBG,LPSN
ANF,AEO
TOL,PHM
HIG,AIG
MMC,AJG
EQR,UDR
FDX,UPS
MUR,MRO
DHT,FRO
PFG,MET
CUBE,FR
NEX,HAL
PEG,CMS
CHD,PG
ETN,IR
ROST,TJX
PXD,COP
ADP,PAYX
EGO,AGI
CBRE,CWK
DQ,JKS
PLAY,BLMN
SWKS,QRVO
ENPH,SEDG
IR,ETN
FNF,IWM
HUN,EMN
WPM,GOLD
RDN,MTG
AIV,EQR
MGY,MRO
TPX,IWM
UA,UAA
PAGP,PAA
SMAR,PD
CPE,MTDR
HSBC,SAN
DFS,SYF
PD,MDB
ARMK,USFD
SPR,BA
CB,TRV
HES,MRO
ALK,DAL
HLT,MAR
TTE,BP
TS,HAL
FNB,FULT
AEM,GOLD
SBLK,GOGL
OTIS,CARR
SBRA,OHI
LEN,TOL
ARCC,FSK
UNM,MET
MGNI,APPS
KKR,BX
SITC,BRX
MPLX,ET
OKTA,MDB
WELL,VTR
K,GIS
BE,PLUG
DT,DDOG
EIX,OGE
ERJ,AZUL
OMC,IPG
MAR,HLT
DHR,TMO
ESTC,DDOG
DKS,ASO
LYV,MGM
BILL,DDOG
GS,MS
PHM,TOL
OKE,KMI
PACB,NVTA
CF,MOS
BRX,KIM
WRK,EMN
SPWR,RUN
UDR,EQR
AEG,SAN
ED,WEC
CG,KKR
ETSY,SQ
LTHM,ALB
GME,AMC
EXPE,MAR
LBTYK,LBTYA
BLMN,EAT
ENLC,PAGP
ERF,CPG
NXPI,MCHP
VOYA,EQH
UPS,FDX
VFC,PVH
CRK,RRC
BEN,IVZ
VTR,WELL
PEAK,UDR
TWLO,PD
GOGL,SBLK
EQNR,VET
WB,BIDU
PLD,FR
UNP,NSC
COUP,RNG
AU,GFI
PTEN,HP
CNX,EQT
LYB,DOW
SPG,KIM
SM,MRO
CPB,CAG
MCD,YUM
STT,BK
AEP,XEL
SYY,USFD
OVV,MRO
BLDR,LPX
SPLK,CRWD
CZR,MGM
SHO,RLJ
NUE,STLD
COF,SYF
STLA,MGA
FLEX,JBL
AFL,MET
USFD,PFGC
MTG,RDN
ING,SAN
ALLY,COF
CAT,EMR
DUK,WEC
JCI,TT
GPN,FISV
APPS,MGNI
EMR,ETN
PSX,VLO
ADBE,INTU
XEL,CMS
CLNE,GEVO
HWM,TXT
DD,EMN
CUK,CCL
BCS,LYG
WDC,MU
MFC,MET
TPR,CPRI
CNQ,CPG
PBF,DK
EQH,MET
CAG,CPB
DOCN,MDB
MLCO,WYNN
PAGS,STNE
TECK,FCX
ZS,CRWD
DB,ING
LOW,HD
CARR,TT
ETWO,NOW
ADI,TXN
LAZR,QS
STEM,PLUG
GIS,K
CFLT,MDB
JNPR,CSCO
BLDP,PLUG
RIO,BHP
ASO,DKS
BHP,RIO
PENN,CZR
UNH,HUM
STWD,BXMT
DDOG,MDB
GT,IWM
INVH,EQR
IVZ,BEN
MFA,NYMT
FE,PEG
ARRY,SHLS
TTD,BILL
PAA,PAGP
AM,TRGP
APO,KKR
VLO,MPC
MOMO,BIDU
HD,LOW
DASH,SQ
HON,ETN
TWO,ARR
OHI,SBRA
CNP,OGE
IPG,OMC
NTES,JD
D,CMS
BIDU,BABA
WYNN,LVS
DBX,SQ
FISV,GPN
NOV,HAL
EOG,COP
FIS,GPN
UAA,UA
CL,PG
MOS,NTR
CFG,FITB
KIM,BRX
BK,STT
RRC,AR
MCHP,NXPI
TDOC,SQ
NI,LNT
COIN,MARA
O,NNN
TXN,ADI
RUN,NOVA
BX,KKR
ABT,DHR
KSS,M
ASX,UMC
PEP,KO
NWSA,IWM
ZM,DOCU
SNOW,MDB
BILI,BIDU
FITB,CFG
LAC,LTHM
TFC,FITB
AIG,MET
DELL,HPQ
CRWD,ZS
SO,DUK
SCHW,STT
MA,V
PPL,OGE
SYF,COF
MET,AIG
UPST,AFRM
RTX,GD
ASAN,DOCU
NKE,EL
NYCB,TFC
USB,TFC
HL,AG
S,CRWD
FUTU,TIGR
U,SQ
ABNB,IWM
PATH,PD
VICI,GLPI
RCL,NCLH
DOW,LYB
AEO,GPS
TCOM,HTHT
GGB,VALE
ON,MCHP
MDLZ,PEP
CP,CNI
NEM,GOLD
GFI,AU
ENB,TRP
SE,SQ
MPC,VLO
ZI,BILL
AR,RRC
TJX,ROST
HMY,AU
JWN,M
ROKU,SQ
EQT,SWN
LYFT,UBER
AA,CENX
MGM,CZR
MDT,SYK
Z,ZG
TSM,UMC
LYG,BCS
AGNC,ARR
EPD,KMI
COP,MRO
KEY,FITB
MQ,SQ
BSX,SYK
SU,CVE
UMC,ASX
IAG,AGI
AFRM,SQ
PG,CL
AMAT,LRCX
RF,ZION
LVS,WYNN
JBLU,DAL
QS,CHPT
HST,SHO
FSR,QS
HAL,SLB
VIPS,BIDU
KOS,MRO
WMB,KMI
CRM,NOW
BKR,HAL
CVE,SU
APA,MRO
BP,TTE
PINS,SNAP
QCOM,AMAT
SABR,CUK
STNE,PAGS
SAN,ING
SQ,SHOP
HBAN,FITB
BA,SPR
CHPT,PLUG
DVN,MRO
MS,GS
GPS,AEO
CVX,XOM
IQ,BIDU
V,MA
JPM,BAC
PDD,JD
LUV,DAL
JD,BIDU
SLB,HAL
OXY,MRO
RIG,HAL
CSX,NSC
TAL,GOTU
HPE,HPQ
HPQ,HPE
X,CLF
MRVL,NVDA
TME,BILI
PYPL,SQ
XPEV,NIO
FCX,SCCO
DOCU,SQ
MRO,DVN
M,KSS
GOLD,WPM
GM,F
PLUG,BLDP
UAL,AAL
MU,WDC
KMI,OKE
SNAP,SQ
KGC,GOLD
TLRY,ACB
FCEL,PLUG
DAL,UAL
KO,PEP
CLF,X
NLY,AGNC
AUY,AGI
XOM,COP
CSCO,JNPR
WFC,BAC
SWN,EQT
C,BAC
CMCSA,LBRDK
BABA,BIDU
NCLH,CCL
ET,PAGP
VALE,GGB
UBER,LYFT
SOFI,SQ
PLTR,SQ
EDU,TAL
BBD,ITUB
AMC,GME
ITUB,BBD
AAL,UAL
NVDA,AMD
BAC,JPM
NIO,XPEV
AMD,NVDA
CCL,CUK
F,GM
